Year,LocationName,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,CountyFIPS
2022,17031814200,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,3.9,,,3.5,4.4,7671,5414,POINT (-87.7456153 41.8356494),17031814200,HLTHOUT,COPD,CrdPrv,COPD,17031
2022,17031806300,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,11.7,,,10.3,13.1,4687,3765,POINT (-87.9023799 42.0379179),17031806300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17031
2022,17031700302,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,13.5,,,12.0,15.1,5662,4246,POINT (-87.7313064 41.7383652),17031700302,HLTHOUT,DIABETES,CrdPrv,Diabetes,17031
2022,17031670600,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,7.5,,,6.8,8.3,1339,968,POINT (-87.6715772 41.7830054),17031670600,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,17031
2022,17031670900,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,19.0,,,17.0,21.1,1172,866,POINT (-87.657022 41.7832124),17031670900,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17031
2022,17031815300,Health Outcomes,Depression among adults,%,Crude prevalence,17.7,,,15.6,20.1,3756,2934,POINT (-87.7953526 41.8393764),17031815300,HLTHOUT,DEPRESSION,CrdPrv,Depression,17031
2022,17031816402,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,7.8,,,7.0,8.7,4460,3223,POINT (-87.850982 41.8943837),17031816402,HLTHOUT,COPD,CrdPrv,COPD,17031
2022,17031650200,Disability,Vision disability among adults,%,Crude prevalence,7.8,,,7.2,8.5,7251,5373,POINT (-87.7302252 41.7822221),17031650200,DISABLT,VISION,CrdPrv,Vision Disability,17031
2022,17031818900,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,8.7,,,6.9,10.7,4496,3538,POINT (-87.8668626 41.8275855),17031818900,PREVENT,ACCESS2,CrdPrv,Health Insurance,17031
2022,17031820902,Disability,Vision disability among adults,%,Crude prevalence,6.5,,,5.9,7.0,5051,3782,POINT (-87.7530181 41.7539907),17031820902,DISABLT,VISION,CrdPrv,Vision Disability,17031
2022,17031801603,Disability,Vision disability among adults,%,Crude prevalence,5.6,,,5.1,6.1,4138,3221,POINT (-87.8770893 42.087117),17031801603,DISABLT,VISION,CrdPrv,Vision Disability,17031
